,Kursus id,Engelsk titel,Dansk titel,Point( ECTS ),Kursustype,Undervisningens placering,Anbefalede forudsætninger,Kursusansvarlig,Institut,Link,arktisk byggeri og infrastruktur (dip),byggeri og infrastruktur (dip),bygningsdesign (dip),eksport og teknologi (dip),elektrisk energiteknologi (dip),elektroteknologi (dip),fiskeriteknologi (dip),fødevaresikkerhed og -kvalitet (dip),it-elektronik (dip),it og økonomi (dip),kemi- og bioteknik (dip),kemiteknik og international business (dip),maskinteknik (dip),"mobilitet, transport og logistik (dip)",proces og innovation (dip),produktion (dip),softwareteknologi (dip),sundhedsteknologi (dip),byggeteknologi (bac),bygningsdesign (bac),bæredygtigt energidesign (bac),cyberteknologi (bac),data science og management (bac),design og innovation (bac),elektroteknologi (bac),fysik og nanoteknologi (bac),fødevarer og ernæring (uddannelsessamarbejde) (bac),general engineering (bac),geofysik og rumteknologi (bac),kemi og teknologi (bac),kunstig intelligens og data (bac),life science og teknologi (bac),matematik og teknologi (bac),medicin og teknologi (bac),miljøteknologi (bac),produktion og konstruktion (bac),softwareteknologi (bac),akvatisk videnskab og teknologi (kan),anvendt kemi (kan),autonome systemer (kan),avancerede materialer og sundhedsteknologi (kan),bioinformatik og systembiologi (kan),bioteknologi (kan),business analytics (kan),byggeteknologi (kan),bygningsdesign (kan),bæredygtig energi (kan),design og innovation (kan),elektroteknologi (kan),farmateknologi (kan),fødevareteknologi (kan),fotonik (kan),fysik og nanoteknologi (kan),geofysik og rumteknologi (kan),industriel økonomi og teknologiledelse (kan),informationsteknologi (kan),kemisk og biokemisk teknologi (kan),kommunikationsteknologier og systemdesign (kan),konstruktion og mekanik (kan),kvantitativ biologi og sygdomsmodellering (kan),lyd og akustisk teknologi (kan),marin ingeniørvidenskab (kan),matematisk modellering og computing (kan),materiale- og procesteknologi (kan),medicin og teknologi (kan),menneskeorienteret kunstig intelligens (kan),miljøteknologi (kan),olie- og gasteknologi (kan),teknologisk entreprenørskab (kan),transport og logistik (kan),vindenergi (kan)
30,01716,Advanced Topics in Applied Functional Analysis,Videregående emner i anvendt funktionalanalyse,5,Kandidat,Campus Lyngby,01715,Kim Knudsen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,01901,Calculus and algebra 1,Basismat 1 - Indledende matematik fordiplomingeniører,5,Diplomingeniør,Unknown,,Morten Brøns,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01901,,,obligatorisk kursus,,,,,,,,,,,obligatorisk kursus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,01904,Discrete mathematics,Diskret matematik,5,Diplomingeniør,Campus Lyngby,,Christian Majenz,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01904,,,obligatorisk kursus,tilvalgskurser,,,,,,,,,,,,,,tilvalgskurser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,01910,Calculus and algebra 1 - Digital Twin,Basismat 1 - Indledende matematik for diplomingeniører -Digital Twin,5,Diplomingeniør,Unknown,,Jakob Martin Pedersen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,01920,Calculus and Algebra 2,Basismat 2 - Videregående matematik fordiplomingeniører,5,Diplomingeniør,Unknown,01901,Morten Brøns,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01920,,,obligatorisk kursus,,,,,,tilvalgskurser,,,,,obligatorisk kursus,,,,tilvalgskurser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,02101,Introductory Programming,Indledende Programmering,5,Bachelor,Campus Lyngby,,Paul Fischer,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02101,,,,,,,,,,,,,,tilvalgskurser,,,,,,,,projekter og almene fag,,,projekter og almene fag,projekter og almene fag,,,,,,,,,,,projekter og almene fag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,02102,Introductory Programming,Indledende Programmering,5,Bachelor,Campus Lyngby,,Jørgen Villadsen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02102,,,,,,,,,,,,,,,,,,,,,,,,,projekter og almene fag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,02105,Algorithms and Data Structures 1,Algoritmer og datastrukturer 1,5,Bachelor,Campus Lyngby,"01017,02102,02101",Philip Bille,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02105,,,tilvalgskurser,tilvalgskurser,,,,,,,,,,tilvalgskurser,,,,tilvalgskurser,,,,teknologisk linjefag,teknologisk linjefag,,,,,teknologisk linjefag,,,any,,,,,,teknologisk linjefag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,02110,Algorithms and Data Structures 2,Algoritmer og datastrukturer 2,5,Kandidat,Campus Lyngby,"02326,02105",Inge Li Gørtz,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02110,,,tilvalgskurser,,,,,,tilvalgskurser,tilvalgskurser,,,,,,,tilvalgskurser,tilvalgskurser,,,,,,,,,,,,,,,,,,,,,,,,teknologisk specialisering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,02121,Introduction to Software Technology,Introduktion til softwareteknologi,10,Bachelor,Campus Lyngby,02101,Carsten Witt,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,projekter og almene fag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
